School,Nickname,City,State,Conference,Type
"University of California, Los Angeles",Bruins,Los Angeles,California,Pac-12 Conference,State
California Polytechnic State University,Mustangs,San Luis Obispo,California,Big West Conference[b],State
"University of California, Riverside",Highlanders,Riverside,California,Big West Conference,State
"University of California, Santa Barbara",Gauchos,Santa Barbara,California,Big West Conference,State
"California State University, Bakersfield",Roadrunners,Bakersfield,California,Western Athletic Conference[c],State
"California State University, Fresno",Bulldogs,Fresno,California,Mountain West Conference,State
"California State University, Fullerton",Titans,Fullerton,California,Big West Conference,State
"California State University, Long Beach",49ers[A 3],Long Beach,California,Big West Conference,State
"California State University, Northridge",Matadors,Northridge,California,Big West Conference,State
"California State University, Sacramento",Hornets,Sacramento,California,Big Sky Conference,State
Campbell University,Fighting Camels and Lady Camels,Buies Creek,North Carolina,Big South Conference,Private/Baptist
Canisius College,Golden Griffins,Buffalo,New York,Metro Atlantic Athletic Conference,Private/Catholic
University of Central Arkansas,Bears and Sugar Bears,Conway,Arkansas,Southland Conference,State
Central Connecticut State University,Blue Devils,New Britain,Connecticut,Northeast Conference,State
University of Central Florida,Knights,Orlando,Florida,American Athletic Conference,State
Central Michigan University,Chippewas,Mount Pleasant,Michigan,Mid-American Conference,State
College of Charleston[A 4],Cougars,Charleston,South Carolina,Colonial Athletic Association,State
Charleston Southern University,Buccaneers[A 5],Charleston,South Carolina,Big South Conference,Private/Baptist
Chicago State University[A 6],Cougars,Chicago,Illinois,Western Athletic Conference,State
University of Cincinnati,Bearcats,Cincinnati,Ohio,American Athletic Conference,State
The Citadel,Bulldogs,Charleston,South Carolina,Southern Conference,State
Clemson University,Tigers,Clemson,South Carolina,Atlantic Coast Conference,State
Cleveland State University,Vikings,Cleveland,Ohio,Horizon League,State
Coastal Carolina University,Chanticleers,Conway,South Carolina,Sun Belt Conference,State
Colgate University,Raiders,Hamilton,New York,Patriot League,Private/Non-sectarian
University of Colorado Boulder,Buffaloes,Boulder,Colorado,Pac-12 Conference,State
Colorado State University,Rams,Fort Collins,Colorado,Mountain West Conference,State
Columbia University,Lions,Manhattan,New York,Ivy League,Private/Non-sectarian
University of Connecticut,Huskies,Storrs,Connecticut,American Athletic Conference,State
Coppin State University,Eagles,Baltimore,Maryland,Mid-Eastern Athletic Conference,State
Cornell University,Big Red,Ithaca,New York,Ivy League,Private/Statutory state
Creighton University,Bluejays,Omaha,Nebraska,Big East Conference,Private/Catholic
Dartmouth College,Big Green,Hanover,New Hampshire,Ivy League,Private/Non-sectarian
Davidson College,Wildcats,Davidson,North Carolina,Atlantic 10 Conference[a],Private/Presbyterian
University of Dayton,Flyers,Dayton,Ohio,Atlantic 10 Conference[a],Private/Catholic
University of Delaware,Fightin' Blue Hens,Newark,Delaware,Colonial Athletic Association,Private-state hybrid
Delaware State University,Hornets and Lady Hornets,Dover,Delaware,Mid-Eastern Athletic Conference,State
